Month,ProductLine,ProductName,QuantitySold,InvoiceNo
2023-02,Frozen Foods,Frozen Pizza,6,INV34464
2024-02,Household,Toilet Paper,121,INV62681
2023-06,Frozen Foods,Frozen Chicken,146,INV35906
2023-03,Personal Care,Toothpaste,17,INV76594
2023-07,Snacks,Granola Bar,28,INV36965
2024-04,Beverages,Mineral Water,174,INV67367
2023-07,Dairy,Cheddar Cheese,21,INV70887
2023-12,Bakery,White Bread,55,INV80435
2024-02,Snacks,Popcorn,19,INV13846
2024-01,Personal Care,Deodorant,124,INV10200
2023-04,Household,Toilet Paper,47,INV80539
2023-11,Household,Dish Soap,108,INV93055
2023-04,Snacks,Trail Mix,93,INV49454
2024-04,Frozen Foods,Ice Cream,148,INV38002
2023-08,Bakery,Bagel,22,INV16106
2023-10,Snacks,Potato Chips,10,INV18252
2023-07,Produce,Carrots,93,INV25445
2024-01,Snacks,Trail Mix,199,INV22930
2024-05,Frozen Foods,Frozen Chicken,120,INV55634
2023-04,Beverages,Mineral Water,178,INV45203
2023-01,Beverages,Cola,182,INV94424
2023-01,Personal Care,Body Lotion,124,INV24023
2024-04,Snacks,Potato Chips,39,INV22280
2023-05,Dairy,Yogurt,189,INV22911
2024-06,Snacks,Popcorn,2,INV85537
2023-06,Frozen Foods,Frozen Veggies,149,INV83729
2023-07,Household,Dish Soap,187,INV24815
2023-12,Frozen Foods,Frozen Veggies,86,INV93235
2024-03,Snacks,Trail Mix,64,INV32803
2024-01,Bakery,White Bread,28,INV15333
2023-08,Dairy,Butter,158,INV66430
2023-05,Personal Care,Deodorant,45,INV15348
2023-08,Snacks,Popcorn,75,INV66825
2023-05,Beverages,Cola,154,INV91084
2023-11,Bakery,Banana Bread,71,INV31429
2023-08,Frozen Foods,Ice Cream,82,INV12719
2024-03,Personal Care,Body Lotion,25,INV75153
2023-11,Household,Trash Bags,136,INV37386
2023-12,Beverages,Mineral Water,50,INV91417
2024-01,Dairy,Milk,89,INV42469
2023-02,Bakery,White Bread,40,INV84130
2023-09,Produce,Apples,183,INV67021
2023-02,Bakery,Bagel,7,INV73607
2023-03,Bakery,Croissant,8,INV86541
2023-06,Frozen Foods,Ice Cream,163,INV57022
2023-01,Bakery,Banana Bread,194,INV51440
2024-04,Dairy,Yogurt,49,INV86835
2024-06,Personal Care,Body Lotion,110,INV42290
2024-05,Personal Care,Shampoo,63,INV21278
2023-07,Beverages,Cola,55,INV55344
2023-02,Snacks,Granola Bar,188,INV24173
2023-02,Produce,Spinach,85,INV19843
2024-02,Personal Care,Shampoo,3,INV13101
2024-05,Frozen Foods,Frozen Pizza,36,INV71747
2024-02,Beverages,Green Tea,78,INV18493
2024-06,Personal Care,Toothpaste,176,INV84236
2023-07,Personal Care,Deodorant,190,INV12188
2023-05,Personal Care,Toothpaste,69,INV58868
2024-04,Household,Toilet Paper,89,INV54865
2023-08,Personal Care,Toothpaste,135,INV69409
2024-05,Household,Laundry Detergent,177,INV13836
2023-12,Bakery,White Bread,29,INV64093
2023-01,Personal Care,Shampoo,46,INV65379
2023-05,Personal Care,Deodorant,191,INV25490
2023-11,Frozen Foods,Frozen Veggies,58,INV14382
2024-04,Beverages,Orange Juice,55,INV18390
2024-06,Frozen Foods,Frozen Pizza,148,INV54092
2024-05,Produce,Bananas,176,INV49098
2023-10,Dairy,Milk,89,INV52069
2023-02,Snacks,Trail Mix,169,INV33077
2024-04,Beverages,Orange Juice,78,INV43587
2024-06,Snacks,Granola Bar,124,INV50724
2023-10,Dairy,Milk,35,INV30338
2023-09,Personal Care,Deodorant,106,INV87400
2023-07,Bakery,Bagel,146,INV25020
2023-02,Snacks,Trail Mix,187,INV35842
2023-11,Frozen Foods,Frozen Veggies,94,INV66709
2023-02,Produce,Bananas,154,INV16069
2023-10,Snacks,Granola Bar,160,INV32050
2024-06,Snacks,Granola Bar,23,INV82622
2023-03,Beverages,Cola,29,INV15475
2023-03,Beverages,Orange Juice,131,INV99658
2023-12,Snacks,Trail Mix,75,INV94222
2023-09,Bakery,Croissant,132,INV60205
2023-01,Household,Toilet Paper,166,INV78785
2023-07,Dairy,Yogurt,38,INV41647
2023-04,Produce,Bananas,83,INV97846
2023-02,Produce,Carrots,59,INV72165
2024-01,Beverages,Orange Juice,40,INV97359
2023-08,Household,Laundry Detergent,192,INV87617
2023-08,Household,Dish Soap,48,INV83541
2023-03,Beverages,Green Tea,166,INV11196
2024-03,Frozen Foods,Frozen Pizza,44,INV36178
2023-11,Dairy,Butter,20,INV68365
2023-08,Produce,Spinach,134,INV51797
2023-10,Household,Laundry Detergent,70,INV36730
2023-03,Snacks,Popcorn,197,INV59382
2024-04,Produce,Spinach,25,INV64115
2024-02,Beverages,Orange Juice,59,INV52083
2024-03,Personal Care,Shampoo,132,INV26436
2023-05,Personal Care,Toothpaste,183,INV41166
2023-12,Snacks,Potato Chips,34,INV66899
2024-04,Produce,Bananas,171,INV59129
2023-10,Bakery,Croissant,41,INV65900
2024-02,Produce,Spinach,71,INV71108
2023-01,Dairy,Cheddar Cheese,150,INV30389
2023-07,Frozen Foods,Frozen Veggies,71,INV78335
2023-12,Dairy,Milk,176,INV55620
2023-10,Snacks,Popcorn,158,INV34032
2023-12,Produce,Apples,112,INV15897
2024-04,Personal Care,Shampoo,98,INV26140
2023-11,Beverages,Cola,98,INV40957
2024-04,Beverages,Green Tea,162,INV45077
2023-11,Frozen Foods,Frozen Chicken,98,INV33315
2023-07,Bakery,Croissant,42,INV51471
2024-04,Beverages,Orange Juice,133,INV13637
2024-04,Beverages,Mineral Water,165,INV44314
2023-08,Personal Care,Toothpaste,2,INV92931
2024-05,Bakery,Croissant,116,INV13327
2023-10,Bakery,Banana Bread,90,INV13074
2023-09,Snacks,Potato Chips,70,INV83514
2023-09,Beverages,Orange Juice,27,INV41795
2023-11,Personal Care,Shampoo,59,INV68428
2023-07,Personal Care,Toothpaste,144,INV34811
2023-11,Frozen Foods,Frozen Chicken,159,INV53596
2023-07,Snacks,Popcorn,167,INV57973
2023-02,Household,Dish Soap,30,INV72026
2023-12,Personal Care,Body Lotion,1,INV55111
2023-02,Household,Laundry Detergent,196,INV90730
2024-04,Dairy,Cheddar Cheese,37,INV33784
2023-10,Produce,Carrots,137,INV87098
2023-10,Snacks,Trail Mix,14,INV82861
2024-06,Frozen Foods,Frozen Pizza,130,INV20918
2023-12,Household,Trash Bags,143,INV98397
2023-01,Bakery,Croissant,54,INV55277
2023-03,Household,Laundry Detergent,89,INV87482
2024-04,Produce,Apples,101,INV48331
2024-06,Bakery,Croissant,77,INV55336
2023-12,Produce,Apples,97,INV95729
2024-03,Frozen Foods,Ice Cream,114,INV85001
2023-06,Dairy,Butter,135,INV51335
2023-09,Household,Laundry Detergent,10,INV96668
2023-11,Personal Care,Shampoo,87,INV17894
2023-08,Dairy,Milk,36,INV67905
2023-05,Beverages,Mineral Water,5,INV63127
2023-06,Dairy,Butter,51,INV55154
2023-03,Dairy,Cheddar Cheese,42,INV15157
2024-04,Snacks,Potato Chips,27,INV98601
2023-03,Frozen Foods,Frozen Veggies,127,INV88741
2024-01,Household,Dish Soap,131,INV10914
2024-03,Frozen Foods,Frozen Pizza,33,INV77412
2023-11,Dairy,Cheddar Cheese,197,INV36915
2024-04,Frozen Foods,Ice Cream,57,INV35621
2023-10,Personal Care,Toothpaste,114,INV11143
2023-11,Dairy,Butter,192,INV36001
2023-06,Frozen Foods,Ice Cream,197,INV10497
2023-07,Household,Trash Bags,154,INV58283
2023-08,Bakery,White Bread,55,INV37383
2024-06,Frozen Foods,Frozen Veggies,170,INV26170
2023-12,Bakery,Croissant,8,INV14049
2024-02,Beverages,Green Tea,35,INV64985
2023-03,Beverages,Mineral Water,24,INV19963
2023-02,Beverages,Mineral Water,113,INV41240
2023-04,Produce,Apples,15,INV49587
2023-12,Household,Dish Soap,136,INV77694
2023-05,Household,Laundry Detergent,193,INV16597
2023-03,Snacks,Granola Bar,46,INV51219
2024-05,Bakery,White Bread,166,INV56533
2023-12,Snacks,Potato Chips,26,INV23168
2024-06,Beverages,Green Tea,27,INV36110
2024-01,Produce,Bananas,119,INV55227
2023-01,Dairy,Milk,184,INV36772
2023-10,Beverages,Orange Juice,130,INV29428
2023-05,Household,Toilet Paper,114,INV87475
2024-03,Dairy,Cheddar Cheese,103,INV47159
2024-02,Personal Care,Shampoo,166,INV24462
2024-05,Beverages,Green Tea,102,INV84095
2024-02,Bakery,Banana Bread,92,INV14387
2024-02,Snacks,Granola Bar,160,INV18176
2023-12,Bakery,White Bread,50,INV73916
2024-01,Snacks,Popcorn,13,INV81922
2024-01,Personal Care,Toothpaste,114,INV42183
2023-06,Produce,Carrots,153,INV43659
2023-03,Bakery,Croissant,132,INV96780
2023-07,Frozen Foods,Ice Cream,45,INV77977
2024-02,Bakery,White Bread,49,INV16095
2023-05,Produce,Carrots,152,INV17308
2024-05,Beverages,Green Tea,38,INV33226
2023-07,Personal Care,Body Lotion,106,INV44339
2024-05,Personal Care,Body Lotion,76,INV24233
2023-04,Personal Care,Body Lotion,70,INV89679
2024-05,Dairy,Milk,124,INV84818
2023-11,Snacks,Trail Mix,87,INV49441
2024-06,Household,Dish Soap,185,INV76498
2023-10,Personal Care,Deodorant,191,INV87223
2023-01,Snacks,Granola Bar,92,INV34060
2024-06,Personal Care,Toothpaste,177,INV82015
2024-03,Dairy,Cheddar Cheese,130,INV52932
2023-12,Snacks,Trail Mix,183,INV63295
2024-01,Frozen Foods,Frozen Chicken,138,INV55026
2023-11,Bakery,Banana Bread,124,INV93382
2023-04,Household,Dish Soap,78,INV57508
2024-03,Dairy,Yogurt,200,INV68264
2024-04,Household,Dish Soap,52,INV82627
2023-05,Dairy,Butter,109,INV60561
2023-04,Snacks,Granola Bar,104,INV33746
2023-08,Household,Trash Bags,166,INV22435
2023-08,Household,Trash Bags,131,INV47095
2023-04,Dairy,Cheddar Cheese,73,INV94444
2023-10,Frozen Foods,Frozen Veggies,85,INV92755
2023-09,Household,Toilet Paper,183,INV32474
2023-10,Personal Care,Shampoo,97,INV41584
2024-05,Dairy,Yogurt,23,INV72621
2024-05,Dairy,Yogurt,125,INV57669
2023-02,Dairy,Yogurt,168,INV12117
2023-08,Personal Care,Toothpaste,66,INV89097
2023-03,Dairy,Cheddar Cheese,18,INV27092
2023-03,Household,Trash Bags,60,INV79556
2023-03,Produce,Apples,89,INV94433
2024-05,Beverages,Cola,124,INV64562
2023-03,Produce,Bananas,178,INV53530
2024-05,Bakery,Bagel,180,INV73868
2023-08,Bakery,Croissant,36,INV78361
2023-11,Produce,Bananas,98,INV77667
2024-05,Household,Dish Soap,38,INV99664
2024-06,Bakery,Bagel,80,INV61658
2023-10,Beverages,Green Tea,100,INV39070
2023-12,Frozen Foods,Frozen Pizza,55,INV60580
2023-10,Frozen Foods,Frozen Veggies,59,INV18712
2023-05,Beverages,Cola,118,INV26327
2023-09,Frozen Foods,Frozen Veggies,197,INV14396
2023-05,Snacks,Potato Chips,178,INV14422
2024-02,Produce,Apples,178,INV96732
2023-08,Dairy,Butter,168,INV28050
2023-04,Frozen Foods,Frozen Chicken,45,INV63535
2024-03,Dairy,Cheddar Cheese,42,INV68360
2024-01,Household,Laundry Detergent,135,INV51216
2023-02,Frozen Foods,Frozen Chicken,110,INV51261
2023-02,Personal Care,Shampoo,127,INV65167
2023-06,Beverages,Mineral Water,194,INV80609
2023-07,Beverages,Cola,151,INV29506
2023-02,Snacks,Popcorn,139,INV94101
2023-12,Frozen Foods,Ice Cream,142,INV75665
2024-06,Dairy,Butter,29,INV67137
2023-11,Dairy,Cheddar Cheese,39,INV19998
2024-04,Snacks,Potato Chips,108,INV27087
2023-08,Produce,Carrots,86,INV55328
2023-05,Beverages,Cola,167,INV77637
2023-10,Household,Dish Soap,129,INV79430
2023-10,Snacks,Potato Chips,72,INV59029
2023-10,Beverages,Mineral Water,136,INV81787
2023-05,Beverages,Orange Juice,98,INV25729
2023-02,Bakery,White Bread,131,INV80413
2024-02,Bakery,Bagel,125,INV11340
2024-04,Snacks,Popcorn,10,INV24845
2023-03,Produce,Carrots,154,INV83311
2024-05,Bakery,Banana Bread,124,INV67948
2023-11,Snacks,Granola Bar,162,INV13188
2023-07,Dairy,Butter,79,INV57496
2023-04,Personal Care,Deodorant,100,INV89399
2023-04,Snacks,Granola Bar,59,INV73576
2023-06,Personal Care,Shampoo,162,INV70303
2024-05,Household,Trash Bags,68,INV34764
2024-06,Household,Laundry Detergent,115,INV46517
2023-06,Personal Care,Deodorant,160,INV11077
2023-12,Beverages,Orange Juice,25,INV16724
2024-06,Beverages,Orange Juice,121,INV46853
2023-01,Bakery,White Bread,93,INV54767
2023-12,Dairy,Butter,52,INV65936
2023-03,Beverages,Mineral Water,57,INV72307
2023-08,Bakery,Croissant,181,INV32939
2023-05,Dairy,Cheddar Cheese,38,INV71186
2023-02,Dairy,Butter,179,INV87114
2023-06,Household,Trash Bags,157,INV36244
2023-08,Bakery,White Bread,184,INV97142
2023-09,Frozen Foods,Frozen Pizza,30,INV72938
2023-11,Bakery,Banana Bread,199,INV84839
2023-01,Beverages,Cola,7,INV93633
2024-01,Snacks,Popcorn,40,INV69738
2024-02,Snacks,Granola Bar,152,INV19625
2024-05,Bakery,Banana Bread,182,INV27214
2024-04,Snacks,Granola Bar,20,INV85597
2023-05,Snacks,Popcorn,60,INV91039
2023-05,Snacks,Granola Bar,91,INV43290
2023-05,Beverages,Mineral Water,147,INV69160
2024-06,Snacks,Potato Chips,11,INV41711
2024-05,Dairy,Yogurt,130,INV33798
2023-11,Bakery,Croissant,90,INV95815
2023-05,Household,Dish Soap,94,INV93162
2023-01,Personal Care,Toothpaste,170,INV71051
2023-10,Personal Care,Shampoo,182,INV22342
2024-02,Bakery,Croissant,149,INV39658
2023-12,Personal Care,Deodorant,44,INV32521
2023-09,Frozen Foods,Frozen Pizza,102,INV15767
2023-06,Household,Trash Bags,78,INV67027
2023-04,Beverages,Mineral Water,74,INV90921
2023-12,Personal Care,Body Lotion,60,INV33628
2024-06,Frozen Foods,Frozen Veggies,167,INV23167
2024-02,Snacks,Trail Mix,44,INV24445
2023-06,Frozen Foods,Frozen Chicken,142,INV93823
2024-04,Dairy,Butter,52,INV59410
2023-08,Dairy,Cheddar Cheese,163,INV83001
2024-04,Household,Trash Bags,161,INV62367
2023-06,Bakery,White Bread,86,INV63790
2023-07,Bakery,Croissant,20,INV54469
2023-03,Bakery,Croissant,147,INV19620
2024-02,Produce,Spinach,121,INV81941
2023-01,Frozen Foods,Frozen Pizza,157,INV63354
2023-12,Frozen Foods,Frozen Pizza,57,INV79034
2023-10,Personal Care,Body Lotion,174,INV43711
2024-04,Personal Care,Toothpaste,2,INV47946
2023-11,Bakery,Croissant,131,INV17961
2024-04,Dairy,Cheddar Cheese,66,INV45154
2024-05,Frozen Foods,Frozen Chicken,93,INV51571
2024-06,Frozen Foods,Ice Cream,152,INV17247
2023-11,Dairy,Butter,43,INV94148
2023-08,Dairy,Butter,130,INV78082
2024-01,Bakery,Bagel,160,INV69630
2023-07,Beverages,Mineral Water,120,INV47622
2024-05,Snacks,Trail Mix,129,INV25873
2023-04,Produce,Apples,117,INV66223
2024-01,Dairy,Milk,80,INV38345
2024-06,Snacks,Popcorn,159,INV33002
2023-03,Dairy,Butter,157,INV13065
2023-07,Snacks,Popcorn,121,INV70390
2023-02,Household,Laundry Detergent,15,INV13653
2023-02,Bakery,Banana Bread,35,INV70109
2024-01,Snacks,Popcorn,161,INV80972
2023-06,Household,Trash Bags,177,INV20835
2023-06,Frozen Foods,Frozen Veggies,159,INV14218
2023-01,Snacks,Popcorn,87,INV67176
2024-01,Bakery,Bagel,145,INV18319
2023-09,Bakery,Croissant,72,INV66304
2024-01,Frozen Foods,Frozen Chicken,50,INV33051
2023-03,Beverages,Orange Juice,95,INV64951
2023-03,Personal Care,Body Lotion,50,INV21304
2024-05,Snacks,Granola Bar,130,INV48667
2023-09,Snacks,Granola Bar,38,INV10425
2023-01,Bakery,Croissant,190,INV26094
2024-04,Personal Care,Deodorant,156,INV53143
2024-06,Personal Care,Toothpaste,180,INV92374
2024-02,Beverages,Orange Juice,13,INV10803
2023-02,Personal Care,Shampoo,27,INV59514
2024-02,Frozen Foods,Frozen Veggies,121,INV83767
2023-01,Produce,Apples,145,INV35371
2024-05,Produce,Spinach,74,INV41495
2023-10,Frozen Foods,Frozen Chicken,76,INV68224
2024-02,Beverages,Mineral Water,117,INV64304
2023-10,Snacks,Potato Chips,62,INV18925
2024-06,Personal Care,Toothpaste,180,INV66458
2023-11,Frozen Foods,Frozen Pizza,54,INV14396
2024-01,Frozen Foods,Ice Cream,29,INV44339
2023-07,Bakery,Croissant,97,INV68797
2024-01,Snacks,Granola Bar,53,INV94236
2024-01,Dairy,Butter,126,INV71609
2023-01,Bakery,Croissant,117,INV94245
2024-05,Snacks,Potato Chips,175,INV80174
2024-02,Bakery,Croissant,65,INV91088
2023-09,Personal Care,Toothpaste,129,INV66293
2023-12,Personal Care,Deodorant,8,INV93448
2023-05,Personal Care,Deodorant,24,INV51273
2023-07,Personal Care,Deodorant,67,INV61839
2023-09,Beverages,Orange Juice,2,INV70979
2023-01,Frozen Foods,Ice Cream,60,INV46802
2024-01,Dairy,Yogurt,147,INV34443
2023-01,Snacks,Popcorn,83,INV83462
2023-02,Bakery,Banana Bread,41,INV69778
2023-01,Frozen Foods,Frozen Pizza,104,INV43466
2024-02,Snacks,Potato Chips,136,INV39992
2023-07,Snacks,Trail Mix,64,INV36363
2023-02,Beverages,Green Tea,186,INV86624
2023-11,Frozen Foods,Frozen Chicken,124,INV99757
2023-04,Snacks,Granola Bar,194,INV89904
2024-01,Household,Dish Soap,146,INV89872
2023-06,Dairy,Yogurt,21,INV40229
2024-05,Personal Care,Toothpaste,124,INV40103
2023-03,Bakery,Bagel,39,INV87343
2023-08,Frozen Foods,Frozen Chicken,148,INV75654
2023-02,Bakery,Croissant,40,INV42703
2024-03,Produce,Bananas,187,INV84405
2023-12,Frozen Foods,Ice Cream,64,INV90801
2023-08,Frozen Foods,Frozen Pizza,148,INV27265
2024-03,Dairy,Cheddar Cheese,109,INV14631
2023-04,Beverages,Cola,157,INV40559
2023-04,Bakery,Banana Bread,66,INV46956
2024-05,Household,Dish Soap,52,INV37930
2024-03,Dairy,Yogurt,9,INV58082
2023-06,Dairy,Yogurt,78,INV31533
2024-03,Personal Care,Deodorant,55,INV72109
2024-06,Frozen Foods,Frozen Pizza,118,INV28474
2024-04,Dairy,Yogurt,143,INV32055
2023-01,Dairy,Butter,10,INV85304
2023-04,Personal Care,Toothpaste,157,INV98075
2023-07,Personal Care,Deodorant,168,INV27555
2023-02,Household,Laundry Detergent,71,INV85642
2023-11,Personal Care,Body Lotion,118,INV63970
2023-10,Beverages,Cola,139,INV94237
2024-03,Frozen Foods,Frozen Pizza,15,INV48507
2023-07,Dairy,Butter,112,INV47059
2023-05,Dairy,Cheddar Cheese,20,INV69481
2023-11,Snacks,Granola Bar,103,INV98031
2023-09,Personal Care,Shampoo,95,INV46416
2023-03,Snacks,Granola Bar,74,INV72814
2023-12,Beverages,Green Tea,186,INV41871
2024-06,Personal Care,Deodorant,157,INV77967
2024-01,Bakery,Banana Bread,47,INV33356
2024-03,Frozen Foods,Ice Cream,40,INV99920
2023-08,Bakery,White Bread,133,INV97890
2024-04,Beverages,Green Tea,111,INV87440
2024-01,Snacks,Granola Bar,166,INV51275
2023-06,Bakery,White Bread,94,INV85433
2023-07,Household,Trash Bags,57,INV25677
2024-01,Snacks,Potato Chips,190,INV31825
2023-08,Bakery,Bagel,101,INV30239
2023-11,Frozen Foods,Frozen Pizza,50,INV90361
2023-11,Personal Care,Toothpaste,35,INV21364
2023-03,Bakery,Croissant,160,INV68639
2023-04,Household,Dish Soap,137,INV72551
2023-03,Frozen Foods,Frozen Chicken,50,INV11229
2023-08,Dairy,Cheddar Cheese,46,INV82278
2023-02,Snacks,Popcorn,193,INV68147
2024-03,Snacks,Popcorn,42,INV58295
2023-06,Frozen Foods,Frozen Pizza,52,INV65233
2023-10,Bakery,Bagel,189,INV17734
2023-03,Produce,Bananas,19,INV28921
2023-12,Personal Care,Toothpaste,114,INV95004
2023-08,Dairy,Butter,41,INV27494
2023-08,Beverages,Orange Juice,189,INV58938
2023-09,Bakery,Croissant,198,INV24524
2023-06,Personal Care,Shampoo,183,INV40123
2024-02,Household,Dish Soap,40,INV94602
2024-06,Frozen Foods,Frozen Veggies,108,INV49481
2023-05,Produce,Bananas,131,INV52681
2024-02,Personal Care,Toothpaste,149,INV49699
2023-10,Frozen Foods,Frozen Chicken,66,INV31004
2024-03,Produce,Apples,59,INV57959
2024-05,Produce,Bananas,195,INV35753
2023-06,Frozen Foods,Frozen Veggies,161,INV16854
2024-02,Produce,Apples,126,INV43320
2023-02,Frozen Foods,Frozen Pizza,184,INV98991
2023-12,Dairy,Milk,93,INV12644
2023-11,Produce,Spinach,21,INV97110
2023-07,Beverages,Cola,41,INV51165
2024-01,Bakery,Banana Bread,140,INV80679
2023-04,Produce,Apples,152,INV88768
2023-01,Personal Care,Toothpaste,124,INV48950
2023-04,Frozen Foods,Ice Cream,137,INV76886
2024-01,Household,Dish Soap,106,INV41408
2023-01,Beverages,Orange Juice,40,INV25085
2023-04,Dairy,Cheddar Cheese,154,INV75471
2023-01,Bakery,White Bread,141,INV70148
2024-04,Produce,Apples,196,INV62259
2023-11,Snacks,Granola Bar,177,INV83750
2024-02,Produce,Spinach,116,INV28104
2024-05,Beverages,Mineral Water,168,INV31727
2023-05,Personal Care,Body Lotion,27,INV68993
2023-08,Personal Care,Body Lotion,48,INV72878
2023-02,Beverages,Mineral Water,199,INV12454
2023-08,Bakery,Banana Bread,46,INV71926
2023-09,Produce,Apples,69,INV10867
2023-04,Frozen Foods,Ice Cream,197,INV18199
2023-06,Produce,Spinach,125,INV20653
2023-08,Frozen Foods,Frozen Veggies,96,INV83459
2023-08,Beverages,Cola,98,INV67420
2023-10,Snacks,Popcorn,191,INV31315
2023-05,Produce,Carrots,118,INV13949
2023-01,Frozen Foods,Ice Cream,20,INV83427
2024-02,Snacks,Granola Bar,132,INV40531
2023-06,Personal Care,Deodorant,79,INV46771
2023-11,Frozen Foods,Frozen Pizza,160,INV14351
2023-08,Beverages,Orange Juice,88,INV16585
2023-08,Beverages,Green Tea,195,INV46153
2023-05,Frozen Foods,Ice Cream,71,INV19119
2023-05,Frozen Foods,Ice Cream,28,INV70533
2024-06,Bakery,White Bread,52,INV83598
2023-10,Snacks,Granola Bar,170,INV58468
2023-01,Personal Care,Shampoo,192,INV63938
2023-04,Beverages,Cola,43,INV77958
2023-03,Produce,Carrots,93,INV13717
2023-05,Bakery,Banana Bread,66,INV34966
2023-08,Frozen Foods,Ice Cream,8,INV40532
2023-03,Household,Toilet Paper,9,INV15592
2024-04,Bakery,White Bread,43,INV72282
2023-07,Beverages,Cola,39,INV94637
2023-10,Beverages,Cola,63,INV57317
2024-03,Beverages,Orange Juice,84,INV78670
2023-09,Beverages,Mineral Water,54,INV19635
2023-06,Beverages,Cola,138,INV18998
2023-02,Dairy,Milk,193,INV87457
2024-02,Beverages,Cola,159,INV29511
2023-09,Personal Care,Body Lotion,47,INV77861
2023-11,Beverages,Cola,114,INV32753
2024-01,Personal Care,Deodorant,185,INV58561
